observation_date,DNRGRC1M027SBEA
1959-01-01,22.6
1959-02-01,22.7
1959-03-01,22.7
1959-04-01,22.5
1959-05-01,22.8
1959-06-01,23.0
1959-07-01,23.0
1959-08-01,23.1
1959-09-01,22.9
1959-10-01,23.5
1959-11-01,23.9
1959-12-01,23.0
1960-01-01,23.3
1960-02-01,23.4
1960-03-01,24.4
1960-04-01,24.5
1960-05-01,23.9
1960-06-01,24.2
1960-07-01,24.1
1960-08-01,24.2
1960-09-01,24.5
1960-10-01,24.3
1960-11-01,24.6
1960-12-01,24.7
1961-01-01,24.5
1961-02-01,24.2
1961-03-01,24.2
1961-04-01,24.7
1961-05-01,24.7
1961-06-01,24.8
1961-07-01,24.7
1961-08-01,24.5
1961-09-01,24.6
1961-10-01,24.5
1961-11-01,25.0
1961-12-01,24.7
1962-01-01,25.1
1962-02-01,25.4
1962-03-01,25.7
1962-04-01,25.6
1962-05-01,25.5
1962-06-01,25.5
1962-07-01,25.4
1962-08-01,25.6
1962-09-01,25.9
1962-10-01,26.3
1962-11-01,26.5
1962-12-01,27.0
1963-01-01,27.3
1963-02-01,27.4
1963-03-01,26.8
1963-04-01,26.4
1963-05-01,26.7
1963-06-01,26.1
1963-07-01,26.4
1963-08-01,27.1
1963-09-01,27.1
1963-10-01,26.5
1963-11-01,26.5
1963-12-01,27.6
1964-01-01,27.3
1964-02-01,27.5
1964-03-01,27.6
1964-04-01,27.8
1964-05-01,27.5
1964-06-01,28.1
1964-07-01,28.2
1964-08-01,28.6
1964-09-01,28.6
1964-10-01,29.3
1964-11-01,28.3
1964-12-01,28.6
1965-01-01,28.4
1965-02-01,29.1
1965-03-01,29.3
1965-04-01,29.7
1965-05-01,29.8
1965-06-01,30.2
1965-07-01,30.6
1965-08-01,30.2
1965-09-01,30.5
1965-10-01,31.0
1965-11-01,31.0
1965-12-01,30.9
1966-01-01,31.2
1966-02-01,30.9
1966-03-01,31.2
1966-04-01,31.7
1966-05-01,32.0
1966-06-01,32.3
1966-07-01,32.3
1966-08-01,32.6
1966-09-01,32.9
1966-10-01,33.0
1966-11-01,32.9
1966-12-01,33.5
1967-01-01,33.0
1967-02-01,33.7
1967-03-01,33.0
1967-04-01,33.3
1967-05-01,34.6
1967-06-01,34.4
1967-07-01,34.5
1967-08-01,33.7
1967-09-01,34.2
1967-10-01,34.4
1967-11-01,35.4
1967-12-01,35.4
1968-01-01,35.6
1968-02-01,35.9
1968-03-01,36.0
1968-04-01,35.7
1968-05-01,35.5
1968-06-01,35.9
1968-07-01,36.2
1968-08-01,36.7
1968-09-01,36.8
1968-10-01,36.6
1968-11-01,36.8
1968-12-01,37.0
1969-01-01,37.4
1969-02-01,37.9
1969-03-01,38.7
1969-04-01,38.5
1969-05-01,38.6
1969-06-01,38.8
1969-07-01,38.9
1969-08-01,39.3
1969-09-01,39.4
1969-10-01,39.9
1969-11-01,40.1
1969-12-01,40.3
1970-01-01,41.0
1970-02-01,40.4
1970-03-01,40.6
1970-04-01,40.9
1970-05-01,41.0
1970-06-01,41.2
1970-07-01,41.7
1970-08-01,41.5
1970-09-01,42.2
1970-10-01,42.4
1970-11-01,42.3
1970-12-01,42.9
1971-01-01,43.6
1971-02-01,43.6
1971-03-01,43.7
1971-04-01,44.0
1971-05-01,43.7
1971-06-01,44.3
1971-07-01,43.7
1971-08-01,44.4
1971-09-01,45.4
1971-10-01,45.3
1971-11-01,45.4
1971-12-01,45.0
1972-01-01,45.2
1972-02-01,45.6
1972-03-01,46.5
1972-04-01,46.5
1972-05-01,46.7
1972-06-01,46.4
1972-07-01,47.2
1972-08-01,48.2
1972-09-01,48.5
1972-10-01,50.1
1972-11-01,51.2
1972-12-01,52.0
1973-01-01,51.3
1973-02-01,52.2
1973-03-01,51.9
1973-04-01,52.4
1973-05-01,53.8
1973-06-01,53.5
1973-07-01,53.9
1973-08-01,54.6
1973-09-01,56.0
1973-10-01,56.8
1973-11-01,59.2
1973-12-01,57.1
1974-01-01,58.1
1974-02-01,59.8
1974-03-01,62.4
1974-04-01,65.4
1974-05-01,67.6
1974-06-01,69.1
1974-07-01,70.4
1974-08-01,69.5
1974-09-01,70.8
1974-10-01,73.2
1974-11-01,70.0
1974-12-01,73.4
1975-01-01,71.5
1975-02-01,72.2
1975-03-01,73.5
1975-04-01,76.7
1975-05-01,74.9
1975-06-01,75.8
1975-07-01,77.9
1975-08-01,79.6
1975-09-01,79.3
1975-10-01,79.5
1975-11-01,77.9
1975-12-01,81.3
1976-01-01,83.7
1976-02-01,80.2
1976-03-01,80.8
1976-04-01,81.6
1976-05-01,82.5
1976-06-01,83.7
1976-07-01,84.4
1976-08-01,85.8
1976-09-01,87.7
1976-10-01,89.6
1976-11-01,93.4
1976-12-01,94.3
1977-01-01,96.1
1977-02-01,94.2
1977-03-01,90.9
1977-04-01,93.0
1977-05-01,92.0
1977-06-01,94.1
1977-07-01,96.3
1977-08-01,96.8
1977-09-01,97.4
1977-10-01,99.4
