observation_date,A067RC1A027NBEA
1929-01-01,83.560
1930-01-01,74.962
1931-01-01,64.665
1932-01-01,49.566
1933-01-01,46.422
1934-01-01,53.190
1935-01-01,59.776
1936-01-01,67.926
1937-01-01,72.788
1938-01-01,67.226
1939-01-01,72.145
1940-01-01,77.722
1941-01-01,95.568
1942-01-01,121.836
1943-01-01,139.450
1944-01-01,152.054
1945-01-01,156.344
1946-01-01,165.324
1947-01-01,174.691
1948-01-01,194.291
1949-01-01,194.338
1950-01-01,214.823
1951-01-01,237.177
1952-01-01,250.455
1953-01-01,265.985
1954-01-01,272.061
1955-01-01,291.300
1956-01-01,311.312
1957-01-01,329.097
1958-01-01,340.404
1959-01-01,360.576
1960-01-01,376.070
1961-01-01,393.326
1962-01-01,417.282
1963-01-01,438.222
1964-01-01,476.124
1965-01-01,512.995
1966-01-01,553.961
1967-01-01,592.762
1968-01-01,643.928
1969-01-01,695.830
1970-01-01,761.975
1971-01-01,831.080
1972-01-01,900.816
1973-01-01,1008.373
1974-01-01,1100.771
1975-01-01,1221.782
1976-01-01,1329.976
1977-01-01,1461.357
1978-01-01,1634.072
1979-01-01,1813.796
1980-01-01,2024.946
1981-01-01,2257.420
1982-01-01,2434.718
1983-01-01,2628.837
1984-01-01,2910.758
1985-01-01,3105.080
1986-01-01,3293.387
1987-01-01,3457.219
1988-01-01,3774.082
1989-01-01,4053.277
1990-01-01,4318.635
1991-01-01,4501.012
1992-01-01,4804.692
1993-01-01,5004.111
1994-01-01,5247.849
1995-01-01,5534.953
1996-01-01,5829.114
1997-01-01,6142.153
1998-01-01,6555.937
1999-01-01,6866.685
2000-01-01,7384.970
2001-01-01,7754.096
2002-01-01,8097.871
2003-01-01,8478.217
2004-01-01,8967.128
2005-01-01,9333.646
2006-01-01,9945.033
2007-01-01,10439.630
2008-01-01,10918.179
2009-01-01,10913.304
2010-01-01,11319.008
2011-01-01,11855.880
2012-01-01,12408.280
2013-01-01,12391.235
2014-01-01,12998.394
2015-01-01,13532.854
2016-01-01,13928.899
2017-01-01,14613.927
2018-01-01,15454.039
2019-01-01,16164.498
2020-01-01,17374.805
2021-01-01,18714.400
2022-01-01,18844.013
2023-01-01,20546.800
2024-01-01,21634.493
